,Epoch,Class,Accuracy,F1-Score,Precision,Recall,AUC-ROC,Hamming Loss,TP,TN,FP,FN
0,1,1st degree av block,0.98046875,0,0,0.0,0.7123505976095618,0.01953125,0.0,251.0,0.0,5.0
1,1,2nd degree av block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
2,1,accelerated atrial escape rhythm,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
3,1,accelerated idioventricular rhythm,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
4,1,accelerated junctional rhythm,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
5,1,acute myocardial infarction,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
6,1,anterior myocardial infarction,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
7,1,atrial escape beat,0.99609375,0,0,0.0,0.8980392156862745,0.00390625,0.0,255.0,0.0,1.0
8,1,atrial flutter,0.79296875,0,0,0.0,0.34231805929919135,0.20703125,0.0,203.0,0.0,53.0
9,1,atrial rhythm,0.99609375,0,0,0.0,0.388235294117647,0.00390625,0.0,255.0,0.0,1.0
10,1,atrial tachycardia,0.99609375,0,0,0.0,0.8980392156862745,0.00390625,0.0,255.0,0.0,1.0
11,1,atrioventricular dissociation,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
12,1,atrioventricular junctional rhythm,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
13,1,atrioventricular reentrant tachycardia,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
14,1,av block,0.99609375,0,0,0.0,0.9647058823529412,0.00390625,0.0,255.0,0.0,1.0
15,1,blocked premature atrial contraction,0.9921875,0,0,0.0,0.4448818897637795,0.0078125,0.0,254.0,0.0,2.0
16,1,bradycardia,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
17,1,brugada,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
18,1,bundle branch block,0.984375,0,0,0.0,0.3412698412698413,0.015625,0.0,252.0,0.0,4.0
19,1,clockwise or counterclockwise vectorcardiographic loop,0.96875,0,0,0.0,0.3130040322580645,0.03125,0.0,248.0,0.0,8.0
20,1,complete heart block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
21,1,complete left bundle branch block,0.9921875,0,0,0.0,0.4940944881889764,0.0078125,0.0,254.0,0.0,2.0
22,1,complete right bundle branch block,0.9609375,0,0,0.0,0.5032520325203251,0.0390625,0.0,246.0,0.0,10.0
23,1,decreased qt interval,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
24,1,early repolarization,0.98828125,0,0,0.0,0.5243741765480896,0.01171875,0.0,253.0,0.0,3.0
25,1,fusion beats,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
26,1,incomplete left bundle branch block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
27,1,incomplete right bundle branch block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
28,1,junctional escape,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
29,1,junctional premature complex,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
30,1,junctional tachycardia,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
31,1,left anterior fascicular block,0.98046875,0,0,0.0,0.5625498007968128,0.01953125,0.0,251.0,0.0,5.0
32,1,left atrial enlargement,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
33,1,left atrial hypertrophy,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
34,1,left axis deviation,0.9609375,0,0,0.0,0.433739837398374,0.0390625,0.0,246.0,0.0,10.0
35,1,left bundle branch block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
36,1,left posterior fascicular block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
37,1,left ventricular high voltage,0.87890625,0,0,0.0,0.39154121863799285,0.12109375,0.0,225.0,0.0,31.0
38,1,left ventricular hypertrophy,0.98046875,0,0,0.0,0.20637450199203186,0.01953125,0.0,251.0,0.0,5.0
39,1,low qrs voltages,0.98046875,0,0,0.0,0.39442231075697215,0.01953125,0.0,251.0,0.0,5.0
40,1,mobitz type II atrioventricular block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
41,1,mobitz type i wenckebach atrioventricular block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
42,1,myocardial infarction,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
43,1,nonspecific intraventricular conduction disorder,0.9921875,0,0,0.0,0.3110236220472441,0.0078125,0.0,254.0,0.0,2.0
44,1,p wave change,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
45,1,pacing rhythm,0.96875,0,0,0.0,0.38054435483870963,0.03125,0.0,248.0,0.0,8.0
46,1,paroxysmal ventricular tachycardia,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
47,1,poor R wave Progression,0.98046875,0,0,0.0,0.47729083665338645,0.01953125,0.0,251.0,0.0,5.0
48,1,premature atrial contraction,0.96875,0,0,0.0,0.6522177419354839,0.03125,0.0,248.0,0.0,8.0
49,1,premature ventricular contractions,0.9765625,0,0,0.0,0.29266666666666663,0.0234375,0.0,250.0,0.0,6.0
50,1,prolonged P wave,0.99609375,0,0,0.0,0.7843137254901961,0.00390625,0.0,255.0,0.0,1.0
51,1,prolonged pr interval,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
52,1,prolonged qt interval,0.98828125,0,0,0.0,0.7971014492753623,0.01171875,0.0,253.0,0.0,3.0
53,1,qwave abnormal,0.95703125,0,0,0.0,0.48905380333951765,0.04296875,0.0,245.0,0.0,11.0
54,1,right atrial  high voltage,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
55,1,right atrial hypertrophy,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
56,1,right axis deviation,0.98828125,0,0,0.0,0.04216073781291174,0.01171875,0.0,253.0,0.0,3.0
57,1,right bundle branch block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
58,1,right ventricular hypertrophy,0.9921875,0,0,0.0,0.09448818897637795,0.0078125,0.0,254.0,0.0,2.0
59,1,s t changes,0.89453125,0,0,0.0,0.28012291767750286,0.10546875,0.0,229.0,0.0,27.0
60,1,shortened pr interval,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
61,1,sinoatrial block,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
62,1,sinus arrest,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
63,1,sinus arrhythmia,0.9375,0,0,0.0,0.5778645833333333,0.0625,0.0,240.0,0.0,16.0
64,1,sinus bradycardia,0.60546875,0,0,0.0,0.7561162567869691,0.39453125,0.0,155.0,0.0,101.0
65,1,sinus rhythm,0.80859375,0,0,0.0,0.45430346051464066,0.19140625,0.0,207.0,0.0,49.0
66,1,sinus tachycardia,0.85546875,0,0,0.0,0.27816857953844254,0.14453125,0.0,219.0,0.0,37.0
67,1,st depression,0.94921875,0,0,0.0,0.22602089268755937,0.05078125,0.0,243.0,0.0,13.0
68,1,st interval abnormal,0.98046875,0,0,0.0,0.3673306772908367,0.01953125,0.0,251.0,0.0,5.0
69,1,supraventricular premature beats,1.0,0,0,0.0,,0.0,0.0,256.0,0.0,0.0
70,1,supraventricular tachycardia,0.99609375,0,0,0.0,0.14117647058823535,0.00390625,0.0,255.0,0.0,1.0
71,1,t wave abnormal,0.84375,0,0,0.0,0.49375,0.15625,0.0,216.0,0.0,40.0
72,1,t wave inversion,0.88671875,0,0,0.0,0.3966276773507519,0.11328125,0.0,227.0,0.0,29.0
73,1,tall p wave,0.99609375,0,0,0.0,0.4627450980392157,0.00390625,0.0,255.0,0.0,1.0
