Epoch,Class,Accuracy,F1-Score,Precision,Recall,AUC-ROC,Hamming Loss,TP,TN,FP,FN
1,1st degree av block,0.9734994986391634,0.0,0.0,0.0,0.5888347146440143,0.026500501360836558,0,20388,0,555
1,2nd degree av block,0.9978035620493722,0.0,0.0,0.0,0.7783758607233223,0.002196437950627895,0,20897,8,38
1,accelerated atrial escape rhythm,0.9981378026070763,0.0,0.0,0.0,0.7162384181870284,0.00186219739292365,0,20904,34,5
1,accelerated idioventricular rhythm,0.9932196915437139,0.0,0.0,0.0,0.8659178994486598,0.00678030845628611,0,20801,135,7
1,accelerated junctional rhythm,0.9942224132168266,0.0,0.0,0.0,0.7145419997240002,0.0057775867831733755,0,20822,112,9
1,acute myocardial infarction,0.998663037769183,0.0,0.0,0.0,0.8350534476281548,0.0013369622308169794,0,20915,0,28
1,anterior myocardial infarction,0.9943179105190278,0.0,0.0,0.0,0.8078092655388327,0.005682089480972163,0,20824,78,41
1,atrial escape beat,0.9966575944229575,0.0,0.0,0.0,0.6099985668561602,0.0033424055770424487,0,20873,60,10
1,atrial flutter,0.7998376545862579,0.3743283582089552,0.5931882686849574,0.27344090710859137,0.7977037095416885,0.20016234541374206,1254,15497,860,3332
1,atrial rhythm,0.9912619968485891,0.0,0.0,0.0,0.47154787765504713,0.008738003151410973,0,20760,61,122
1,atrial tachycardia,0.9891133075490618,0.008695652173913044,0.008333333333333333,0.00909090909090909,0.7007675759175783,0.01088669245093826,1,20714,119,109
1,atrioventricular dissociation,0.9928377023349091,0.0,0.0,0.0,0.747175920774452,0.007162297665090961,0,20793,107,43
1,atrioventricular junctional rhythm,0.9915484887551926,0.022099447513812157,0.021052631578947368,0.023255813953488372,0.6916505640290305,0.008451511244807334,2,20764,93,84
1,atrioventricular reentrant tachycardia,0.9953206321921406,0.0,0.0,0.0,0.7431567381646205,0.004679367807859428,0,20845,88,10
1,av block,0.994413407821229,0.0,0.0,0.0,0.736786082666071,0.00558659217877095,0,20826,72,45
1,blocked premature atrial contraction,0.9915484887551926,0.0,0.0,0.0,0.5931725277367677,0.008451511244807334,0,20766,140,37
1,bradycardia,0.9982332999092776,0.0,0.0,0.0,0.4672978652275658,0.0017667000907224371,0,20906,33,4
1,brugada,0.9777968772382181,0.004282655246252676,0.0021645021645021645,0.2,0.7559556786703602,0.02220312276178198,1,20477,461,4
1,bundle branch block,0.9876808480160435,0.007692307692307692,0.024390243902439025,0.0045662100456621,0.7364028338528819,0.012319151983956453,1,20684,40,218
1,clockwise or counterclockwise vectorcardiographic loop,0.9780356204937211,0.0,0.0,0.0,0.6046377461154293,0.02196437950627895,0,20483,57,403
1,complete heart block,0.9962756052141527,0.0,0.0,0.0,0.8095444245036651,0.0037243947858473,0,20865,37,41
1,complete left bundle branch block,0.9894475481067659,0.0,0.0,0.0,0.8337482341124314,0.010552451893234015,0,20722,88,133
1,complete right bundle branch block,0.9646659981855512,0.010695187165775402,0.043010752688172046,0.0061068702290076335,0.7824346208490862,0.03533400181444874,4,20199,89,651
1,decreased qt interval,0.999761256744497,0.0,0.0,0.0,0.5016713623991214,0.00023874325550303204,0,20938,3,2
1,early repolarization,0.9756481879386907,0.019230769230769232,0.017123287671232876,0.021929824561403508,0.5911886885933153,0.024351812061309267,5,20428,287,223
1,fusion beats,0.9938881726591223,0.0,0.0,0.0,0.7457319119234047,0.006111827340877621,0,20815,46,82
1,incomplete left bundle branch block,0.9924557131261041,0.0,0.0,0.0,0.8353137835514376,0.007544286873895812,0,20785,153,5
1,incomplete right bundle branch block,0.9891610562001624,0.0,0.0,0.0,0.652264152057488,0.010838943799837655,0,20716,64,163
1,junctional escape,0.9977080647471709,0.0,0.0,0.0,0.7417437929032478,0.0022919352528291076,0,20895,20,28
1,junctional premature complex,0.99842429451368,0.0,0.0,0.0,0.6806662481576504,0.0015757054863200115,0,20910,26,7
1,junctional tachycardia,0.990784510337583,0.0,0.0,0.0,0.506594666921533,0.009215489662417036,0,20750,176,17
1,left anterior fascicular block,0.9880628372248484,0.0,0.0,0.0,0.7936630734251249,0.011937162775151602,0,20693,23,227
1,left atrial enlargement,0.9936971780547199,0.0,0.0,0.0,0.6147932384681501,0.006302821945280046,0,20811,131,1
1,left atrial hypertrophy,0.9989972783268872,0.0,0.0,0.0,0.9079221792361211,0.0010027216731127346,0,20922,15,6
1,left axis deviation,0.961180346655207,0.004895960832313341,0.01680672268907563,0.0028653295128939827,0.7157105543057432,0.03881965334479301,2,20128,117,696
1,left bundle branch block,0.9935061834503175,0.0,0.0,0.0,0.8865431022124528,0.006493816549682472,0,20807,120,16
1,left posterior fascicular block,0.9956548727498448,0.0,0.0,0.0,0.7864953918150995,0.004345127250155183,0,20852,89,2
1,left ventricular high voltage,0.87322733132789,0.10876132930513595,0.3326488706365503,0.06500802568218299,0.6881632953813811,0.12677266867211,162,18126,325,2330
1,left ventricular hypertrophy,0.9795635773289405,0.022831050228310504,0.0847457627118644,0.013192612137203167,0.7927449871409881,0.020436422671059544,5,20510,54,374
1,low qrs voltages,0.9752661987298858,0.0,0.0,0.0,0.6454644713219219,0.02473380127011412,0,20425,36,482
1,mobitz type II atrioventricular block,0.9983287972114788,0.0,0.0,0.0,0.7695430017668687,0.0016712027885212243,0,20908,33,2
1,mobitz type i wenckebach atrioventricular block,0.9991882729312896,0.0,0.0,0.0,0.43593987836426557,0.000811727068710309,0,20926,3,14
1,myocardial infarction,0.9919782266150982,0.0,0.0,0.0,0.7330134760346295,0.008021773384901877,0,20775,122,46
1,nonspecific intraventricular conduction disorder,0.9758391825430932,0.01937984496124031,0.024509803921568627,0.016025641025641024,0.7016157848097646,0.024160817456906843,5,20432,199,307
1,p wave change,0.9959413646564484,0.0,0.0,0.0,0.7394728827125078,0.0040586353435515445,0,20858,58,27
1,pacing rhythm,0.954018048990116,0.008238928939237899,0.014925373134328358,0.005689900426742532,0.7733052586599496,0.04598195100988397,4,19976,264,699
1,paroxysmal ventricular tachycardia,0.9863438857852266,0.0,0.0,0.0,0.8190011013743237,0.013656114214773432,0,20657,226,60
1,poor R wave Progression,0.9758391825430932,0.01937984496124031,0.034722222222222224,0.013440860215053764,0.7549032906226169,0.024160817456906843,5,20432,139,367
1,premature atrial contraction,0.9580766843336675,0.013483146067415729,0.022813688212927757,0.009569377990430622,0.6141809489805883,0.04192331566633243,6,20059,257,621
1,premature ventricular contractions,0.9652867306498591,0.016238159675236806,0.06315789473684211,0.009316770186335404,0.6931589354063582,0.03471326935014086,6,20210,89,638
1,prolonged P wave,0.9946521510767321,0.017543859649122806,0.02564102564102564,0.013333333333333334,0.6299086320362915,0.0053478489232679175,1,20830,38,74
